Industry_Type,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,Population_Millions,GDP_Billion_USD,Urbanization_Percentage,Renewable_Energy_Percentage,Industrial_Growth_Percentage,Transport_Growth_Percentage,Continent
Manufacturing,germany,2013,255.76,643.28,70.68,46.29,33.51,7.54,1213.49,13162.2,34.09,65.17,-7.79,-3.73,Europe
Construction,germany,2007,222.28,264.49,26.12,72.65,4.52,16.43,1221.18,10140.14,59.97,72.95,-1.82,0.09,Europe
Energy,germany,2009,9.23,178.28,28.88,195.66,18.08,11.78,867.64,2837.65,96.65,19.1,8.18,-1.73,Europe
Mining,germany,2013,5.93,373.78,30.55,166.35,37.5,1.69,1180.14,5205.64,45.9,20.6,4.43,-3.56,Europe
Construction,germany,2000,281.74,680.73,13.54,27.33,11.32,18.4,1016.78,11247.3,65.55,23.06,-9.14,7.17,Europe
Manufacturing,germany,2012,246.75,946.96,56.81,45.87,38.46,15.48,957.76,23865.16,99.24,29.09,6.89,8.22,Europe
Construction,germany,2000,193.61,456.29,1.69,14.59,1.3,15.34,1114.89,17660.37,56.49,38.15,10.38,8.66,Europe
Energy,germany,2003,3.16,333.46,78.66,23.02,29.94,18.83,1058.34,13631.51,70.69,83.23,-9.8,2.46,Europe
Mining,germany,2001,2.64,678.4,87.1,158.93,12.03,10.89,887.9,19773.65,67.84,70.17,-3.53,9.57,Europe
Mining,germany,2020,44.32,86,51.8,20.54,16.57,11.24,144.6,14907.15,59.01,58.49,-7.81,5.1,Europe
Energy,germany,2008,294.88,494.89,71.91,179.01,17.78,1.83,990.58,23312.92,25.52,48.36,4.35,5.45,Europe
Construction,germany,2007,267.09,37.86,77.42,4.91,29.31,18.38,128.97,11080.68,87.45,13.09,-8.89,8.87,Europe
Mining,germany,2004,116.66,481.24,32.06,29.77,19.12,3.65,1123.25,20083.2,94.23,82.66,-2.32,2.28,Europe
Construction,germany,2007,202.13,291.24,45.32,125.62,42.16,10.68,90.16,11544.68,58,12.79,12.79,1.71,Europe
Mining,germany,2021,237.62,682.9,66.7,73.13,41.58,19.94,167.91,2449.87,30.97,38.04,-1.78,-2.22,Europe
Energy,germany,2007,236.94,582.46,72.61,88.23,37.34,4.02,163.48,12218.77,98.94,56.63,8.22,1.07,Europe
Energy,germany,2003,25.52,909.46,76.07,121.65,24.98,10.99,1134.32,8160.1,63.88,75.36,0.9,4.28,Europe
Manufacturing,germany,2013,38.33,550.71,59.54,135.82,30.48,16.71,1416.85,11344.36,96.37,88.24,13.36,2.62,Europe
Construction,germany,2001,222.96,158.46,60.14,120.13,38.02,11.68,915.73,19110.02,52.88,99.06,11.41,-2.18,Europe
Mining,germany,2017,220.79,840.08,76.68,74.85,22.17,0.24,1352.18,10118.23,96.43,54.27,-9.15,-4.29,Europe
Mining,germany,2000,31.42,777.24,77.56,122.35,11.47,15.44,473.99,21571.15,57.44,46.86,-2.8,-2.57,Europe
Manufacturing,germany,2009,251.37,909.58,38.2,154.08,13.39,13.97,627.02,13709.14,38.69,17.25,-1.18,5.02,Europe
Mining,germany,2007,45.84,793.43,99.4,0.72,27.69,16.53,666.54,24682.37,90.1,53.55,-1.01,0.87,Europe
Mining,germany,2001,83.22,462.14,19.94,12.4,23.52,4.09,789.99,1116.51,97.04,92.48,-3.39,-1.1,Europe
Manufacturing,germany,2007,83.75,132.13,95.31,44.86,18.58,18.31,616.35,19591.57,67.29,33.31,6.55,3.92,Europe
Manufacturing,germany,2006,272.52,952.63,99.94,172.35,14.62,0.7,485.55,8835.95,50.83,52.87,12.87,-0.47,Europe
Construction,germany,2011,91.89,505.59,5.29,134.59,5.31,17.32,237.28,15706.04,94.06,11.91,9.59,-3.48,Europe
Manufacturing,germany,2001,30.61,536.04,25.8,101.33,14.47,8.77,708.7,7667.46,70.89,93.42,9.68,-0.95,Europe
Construction,germany,2021,143.81,920.3,7.51,137.39,36.97,17.69,21.65,4936.97,39.99,21.77,-2.73,0.77,Europe
Manufacturing,germany,2008,162.8,931.09,73.27,0.9,34.62,8.89,936.38,9952.56,42.88,21.45,-3.98,5.12,Europe
Manufacturing,germany,2009,82.83,533.29,70.17,33.05,1.12,15.96,189.32,14548.49,39.93,34.56,-2.24,-0.71,Europe
Construction,germany,2005,165.73,234.23,93.77,67.03,48.26,16,1275.13,5781.22,61.74,48.77,7.68,-4.23,Europe
Mining,germany,2004,80.71,77.74,96.88,93.48,36.55,8.44,889.06,24512.42,93.78,71.85,8.04,5.4,Europe
Manufacturing,germany,2008,204.93,209.57,11.46,195.32,10.91,17,1119.37,1742.83,40.02,79.03,-7.13,3.25,Europe
Manufacturing,germany,2020,5.34,843.43,64.36,73.86,26.26,18.78,913.74,3883.66,48.63,87.93,14.77,9.33,Europe
Construction,germany,2013,275.74,838.03,35.6,155.42,31.34,9.5,280.57,20025.53,54.38,79.1,8.76,-1.21,Europe
Mining,germany,2014,36.91,802.42,25.77,11.92,1.17,14.09,95.32,5361.4,23.96,88.86,-1.08,6.21,Europe
Manufacturing,germany,2016,95.14,178.68,83.97,98.5,44.3,17.27,50.57,24100.43,34.14,1.09,-0.04,4.45,Europe
Manufacturing,germany,2011,234.31,653.46,25.89,18.08,48.91,4.11,1414.61,2150.86,60.47,69.44,-8.23,4.62,Europe
Energy,germany,2004,216.02,870.9,13.9,170.74,40.81,15.04,735.08,1668.57,44.73,21.22,-5.48,2.54,Europe
Construction,germany,2021,111.78,578.38,23.3,71.07,27.62,18.92,788.15,13779.24,35.18,94.03,7.93,1.3,Europe
Mining,germany,2017,254.57,809.18,20.78,63.55,22.22,1.24,1391.8,24880.65,73.67,10.83,-3.51,8.28,Europe
Construction,germany,2015,34.86,959.53,90.65,25.02,25.19,9.2,1275.51,1013.09,27.06,24.26,2.45,3.08,Europe
Construction,germany,2022,239.44,648.56,66.74,186.39,22.96,15.05,883.66,6444.58,27.62,77.53,12.92,3.91,Europe
Mining,germany,2019,55.28,718.61,33.7,155.87,2.99,18.82,1283.63,14976.96,97.56,49.17,-8.86,4.82,Europe
Manufacturing,germany,2021,215.32,710.91,21.26,99.94,24.5,3.85,403.88,2049.32,85.15,87.41,2.28,3.17,Europe
Mining,germany,2021,113.08,480.62,63.16,78.04,4.14,7.61,215.01,8368.21,68.45,6.72,4.58,-4.93,Europe
Mining,germany,2021,206.4,686.73,97.75,116.2,34.98,9,210.9,6805.77,82.19,25.19,6.77,-0.17,Europe
Mining,germany,2022,21.77,75.17,3.34,135.33,24.22,14.24,891.39,771.08,99.36,60.36,2.78,7.57,Europe
Manufacturing,germany,2011,152.11,512.39,4.43,16.15,2.07,8.45,240.33,7931.26,24.65,98.17,-0.94,8.58,Europe
Mining,germany,2001,70.43,39.23,28.22,9.42,38.24,19.85,51.67,16468.01,87.5,28.2,-4.11,-3.99,Europe
Construction,germany,2016,274.25,955.79,93.15,12.9,15.81,1.41,387.71,13476.98,90.08,25.18,-9.8,3.11,Europe
Manufacturing,germany,2005,94.11,793.8,74.49,11.73,33.39,13.33,1028.03,14270.08,49.81,79.54,0.03,9.6,Europe
Manufacturing,germany,2008,248.68,215.49,20.03,32.01,19.85,9.25,316.03,20048.12,48.25,49.03,-8.45,9.71,Europe
Energy,germany,2016,278.44,875.24,78.09,24.83,13.54,14.86,816.51,1928.14,20.4,39.44,2.32,2.47,Europe
Mining,germany,2005,146.31,165.17,45.45,107.86,3.12,14.88,416.07,8380.54,22.95,56.78,-8.72,-1.72,Europe
Construction,germany,2011,272.53,146.38,20.39,136.82,43.78,17.16,1401.24,20029.62,92.85,37.94,-9.41,3.77,Europe
Energy,germany,2004,138.75,254.18,42.56,19.61,6.82,8.62,877.21,21824.76,34.29,42.18,2.1,4.12,Europe
Construction,germany,2014,186.78,156.88,46.47,118.08,0.68,12.59,1022.92,20703.13,58.28,26.17,4.56,-4.35,Europe
Manufacturing,germany,2009,227.51,193.13,17.9,38.33,41.2,11.11,402.72,24219.24,87.8,31.17,6.14,0.79,Europe
Energy,germany,2021,105.33,61.33,45.26,172.85,24.64,16.92,397.28,9601.99,64.85,24.25,-7.65,-2.69,Europe
Construction,germany,2012,139.3,452.3,24.95,16.83,23.78,5.98,1352.85,13263.81,67.91,8.14,14.03,5.33,Europe
Energy,germany,2003,124.92,37.74,61.5,13.04,30.45,4.35,686.87,1122.08,46.91,77.3,10.17,7.38,Europe
Mining,germany,2017,160.84,941.36,74.37,104.13,5.52,9.9,1200.86,13019.65,55.3,61.93,-9.03,-0.25,Europe
Manufacturing,germany,2000,102.48,849.26,46.63,162.8,26.16,11.23,1406.45,13229,75.52,38.14,9.13,0.72,Europe
Construction,germany,2005,110.18,867.78,57.59,187.88,24.53,7.38,433.65,519.8,31.42,39.28,-2.98,5.69,Europe
Energy,germany,2007,170.51,940.6,33.29,43.1,42.49,9.33,771.48,2713.41,25.38,80.96,10.27,8.29,Europe
Mining,germany,2021,58.23,609.39,67,20.3,26.79,19,1280.83,23203.32,91.56,58.28,12.77,-4.31,Europe
Construction,germany,2018,32.15,885.01,41.38,126.36,5.3,1.53,65.13,17633.63,57.88,85.86,-6.96,-3.9,Europe
Construction,germany,2000,254.87,572.23,55.81,115.17,16.41,3.7,203.61,9962.77,28.54,84.06,10.61,-2.56,Europe
Energy,germany,2000,182.98,395.46,23.16,77.45,30.09,3.35,676.28,20126.65,29.08,58.09,-6.04,2.66,Europe
Manufacturing,germany,2001,99.49,364.36,4.39,65.1,2.67,19.51,85.2,10311.21,38.7,56.44,-8.7,4.78,Europe
Energy,germany,2020,184.52,273.16,58.85,144.66,28.85,16.31,302.24,21867.56,46.86,54.71,12.8,5.22,Europe
Mining,germany,2012,122.11,353.6,32.6,19.24,33.68,18.51,422.82,1424.05,71.46,58.49,3.97,4.15,Europe
Manufacturing,germany,2007,203.67,189.39,73.51,17.7,7.58,5.34,1461.23,5744.11,26.85,76.84,8.04,-2.14,Europe
Construction,germany,2004,22.41,935.76,75.46,175.38,37.38,3.08,1328.3,724.81,95.12,98.96,-6.05,0.77,Europe
Manufacturing,germany,2000,115.32,500.29,71.77,185.04,45.7,18.7,831.73,9068.56,35.29,88.39,-4.13,7.79,Europe
Manufacturing,germany,2018,195.83,445.63,2.08,34.7,36.54,14.66,324.83,11422.65,37.53,98.45,1.91,0.87,Europe
Manufacturing,germany,2018,38.94,414.98,21.6,53.5,5.5,18.53,311.29,4453.35,90.52,11.71,-3.98,2.8,Europe
Mining,germany,2010,114.82,964.19,34.24,60.43,38.52,1.48,1166.14,13017.69,20.76,69.57,-4.64,2.26,Europe
Construction,germany,2004,219.05,647.37,15.11,62.85,30.61,5.08,1190.62,23997.51,83.92,90.03,-7.98,-2.1,Europe
Construction,germany,2017,245.77,397.9,8.69,165.49,7.38,1.57,994.15,8060.85,59.71,28.59,5.87,4.01,Europe
Manufacturing,germany,2002,227.5,395.97,67.72,152.25,47.57,1.99,468.5,7503.84,49.47,72.81,-5.07,4.61,Europe
Energy,germany,2011,35,477.45,67.57,51.54,40.53,2.32,798.12,2299.53,80.78,90.7,11.44,7.11,Europe
Energy,germany,2022,151.95,713.37,75.79,96.89,26.35,15.58,886.93,12483.88,52.66,91.08,14.89,-0.44,Europe
Manufacturing,germany,2012,232.93,756.94,6.74,68.89,9.81,0.4,638.18,8513.2,86.86,23,13.2,9.2,Europe
Energy,germany,2008,38.85,73.94,52.72,125.91,49.86,11.84,347.23,22381.58,73.15,9.03,2.03,5.83,Europe
Mining,germany,2007,124.07,883.56,89.72,103.07,16.53,8.82,1355.49,24858.44,78.4,65.71,-5.97,1.37,Europe
Mining,germany,2013,121.17,149.35,62.5,98.45,9.55,15.28,1480.97,1940.59,54.72,29.43,-3.45,-3.53,Europe
Mining,germany,2010,261.04,226.49,32.03,92.85,11.89,16.42,1254.38,5988,76.24,58.96,-8.1,-4.26,Europe
Energy,germany,2005,25.52,213.53,14.58,133.41,37.13,7.38,1400.22,8509.51,74.19,14.97,7.68,4.71,Europe
Manufacturing,germany,2010,6.24,591.46,25.75,110.99,25.8,5.63,1458.22,21183.83,94.52,32.09,4.07,5.66,Europe
Energy,germany,2006,146.51,114.22,51.48,159.11,36.59,4.39,449.18,13127.26,27.37,59.3,-5.84,-4.32,Europe
Energy,germany,2008,267.82,50.34,67.26,31.25,43.76,11.55,261.37,5315,69.24,4.26,-2.85,-2.21,Europe
Energy,germany,2001,245.36,815.45,4.43,197.03,32.7,15.17,1393,16288.22,40.38,58.68,7.3,4.22,Europe
Mining,germany,2001,257.15,777.67,22.11,2.21,26.89,12.2,340.75,11792.94,50.28,33.11,-0.5,6.5,Europe
Construction,germany,2010,37.54,262.43,33.7,89.59,18.92,18.94,1465.4,20554.49,53.61,20.33,13.84,3.17,Europe
Mining,germany,2021,216.34,145.15,72.66,28.95,12.54,6.29,924.88,16933.62,21.11,80.74,-0.05,-0.45,Europe
Manufacturing,germany,2009,194.48,760.58,49.79,164.74,43.78,12.08,235.19,10303.42,87.36,31.13,-8.94,-0.51,Europe
Construction,germany,2003,30.47,320.11,59.92,42.63,2.38,8.06,531.48,9265.86,78.94,90.21,10.06,2.82,Europe
Manufacturing,germany,2021,125.39,486.24,84.67,125,4.84,5.3,1077.18,13739.11,98.35,95.35,1.23,6.99,Europe
Construction,germany,2009,105.54,580.02,93.63,105.73,43.14,10.75,1277.99,3967.38,83.31,95.93,10.24,-4.01,Europe
Construction,germany,2011,280.06,278.63,85.31,54.06,12.51,2.57,1271.51,10907.65,80.46,17.58,10.45,0.47,Europe
Construction,germany,2002,90.63,605.14,29.96,110.91,29.7,3.11,145.91,20646.34,88.06,97.47,13.45,3.52,Europe
Energy,germany,2018,251.98,165.56,82.22,179.09,32.31,16.54,426.2,5750.98,99.42,57.66,-5.57,6.68,Europe
Manufacturing,germany,2006,296.58,738.86,7.72,181.17,18.25,15.13,322.6,5777.86,80.97,32.43,10.87,1.81,Europe
Energy,germany,2017,48.81,117.82,74,182.28,21.99,4.76,490.08,12565.52,84.48,21.14,3.28,-3.38,Europe
Construction,germany,2001,159.93,706.77,7.35,129.7,38.17,5.62,472.49,21387.53,77.31,27.9,10.5,-2.26,Europe
Energy,germany,2003,63.52,682.25,43.66,128.16,40.31,15.88,13.42,19425.04,98.18,23.16,-3.09,5.32,Europe
Energy,germany,2008,265.64,926.4,88.64,133.04,25.36,17.98,1454.36,1195.21,77.64,76.21,-2.35,8,Europe
Energy,germany,2012,166.09,366.37,46.84,191.31,28.89,13.28,344.57,2761.2,41.43,84.19,6.28,4.89,Europe
Energy,germany,2000,201.03,29.28,17.18,98.7,1.99,12.39,1046.32,15530.38,95.66,63.07,8.17,3.7,Europe
Mining,germany,2000,263.18,959.75,48.5,172,48.79,11.93,1210.34,6042.67,54.55,0.32,-5.81,-3.62,Europe
Manufacturing,germany,2002,25.5,562.46,20.98,170.18,49.79,1.46,1124.09,21404.47,65.9,79.96,-0.2,-0.39,Europe
Mining,germany,2001,264.79,82.57,49.93,180.05,7.29,18.09,243.21,21356.39,23.46,10.39,-4.25,5.2,Europe
Construction,germany,2009,147.29,932.09,83.14,80.79,26.21,3.1,7.42,20047.31,62.44,94.19,0.81,7.02,Europe
Energy,germany,2000,268.27,888.16,76.96,135.58,6.28,12.29,494.86,4483.6,42.02,57.9,9.36,9.5,Europe
Manufacturing,germany,2006,85.24,99.8,49.75,135.65,48.93,7.88,618.32,15333.67,68.94,49.04,4.38,5.31,Europe
Manufacturing,germany,2012,258.36,111.43,56.52,120.05,28.29,14.24,290.83,10259.21,71.08,25.73,-6.45,5.21,Europe
Manufacturing,germany,2001,186.39,715.67,65.65,114.65,8.28,7.17,1110.75,12943.56,53.81,6.88,9.68,7.62,Europe
Mining,germany,2017,295.86,196.12,4.69,153.47,22.37,19.63,988.84,23581.85,90.86,82.45,4.04,1.31,Europe
Manufacturing,germany,2012,131.31,481.2,58.68,27.64,46.55,16.26,1044.8,1535.84,79.12,72.01,5.11,-2.74,Europe
Mining,germany,2018,103.47,307.85,34.43,10.79,28.85,9.08,1185.81,115.82,93.63,40.68,2.23,-2.92,Europe
Energy,germany,2020,274.57,976.13,1.44,38.74,48.73,12.42,320.86,18793.15,53.97,26.65,-4.98,3.61,Europe
Energy,germany,2013,148.59,43.06,52.59,138.16,36.22,19.63,710.98,12943.47,82.7,54.89,-7.95,3.72,Europe
Mining,germany,2001,130.89,46.2,61.43,78.05,42.61,16.25,178.13,13228.7,47.7,90.26,-9.38,6.45,Europe
Mining,germany,2017,295.66,333.2,75.42,109.54,28.13,5.99,581.41,8526.32,47.53,3.84,9.99,6.21,Europe
Energy,germany,2007,97.83,736.97,47.72,52.83,9.71,16.3,1226.19,17522.13,99.47,97.64,6.18,7.74,Europe
Energy,germany,2017,19.46,931.21,72.94,57.71,27.05,10.35,1199.44,24667.49,62.98,31,-8.78,-2.86,Europe
Mining,germany,2008,233.5,126.33,97.3,30.05,33.5,8.09,279.5,5199.43,20.66,50.22,-3.75,-4.82,Europe
Mining,germany,2016,14.63,739.33,62.91,151.18,41.79,13.07,1327.74,22891.66,70.26,96.55,-0.51,0.28,Europe
Construction,germany,2021,233.38,245.66,99.88,38.08,4.98,17.23,608.8,15426.93,83.77,62.14,5.51,-1.74,Europe
Manufacturing,germany,2013,225.56,989.7,11.45,101.96,37.06,4.64,656.21,24855.33,77.86,89.27,-4.72,0.98,Europe
Energy,germany,2015,105.59,230.45,26.85,76.7,41.81,3.69,700.45,20160.79,64.02,8.47,5.92,5.41,Europe
Manufacturing,germany,2001,150.12,86.87,15.63,57.91,14.17,8.12,744.81,22379.64,84.47,18.44,-4,0.69,Europe
Construction,germany,2014,89.77,534.87,1.76,82.84,37.03,8.51,6.38,8457.79,61.22,59.17,6.25,2.3,Europe
Manufacturing,germany,2002,57.4,502.61,83.9,21.14,25.77,2.96,1484.89,16701.79,55.14,68.74,6.34,5.12,Europe
Mining,germany,2005,287.21,514.17,92.61,55.41,19.76,16.13,973.1,8526.81,39.45,71.98,-5.69,-0.94,Europe
Energy,germany,2013,149.9,34.76,33.54,156.09,24.45,7.11,693.95,16681.84,97.2,28.06,10.76,-3.17,Europe
Manufacturing,germany,2019,90.53,678.25,69.99,36.6,36.91,18.05,138.99,4223.42,24.85,80.67,11.05,0.45,Europe
Energy,germany,2022,88.6,438.97,25.93,118.79,30.47,7.21,1209.9,17773.66,85.98,61.33,7.76,2.11,Europe
Energy,germany,2004,234.13,889.72,13.81,83.78,34.48,9.06,255.56,4863.39,77.52,60.23,-0.38,0.37,Europe
Construction,germany,2018,86,614.42,51.65,143.92,26.01,17.67,917.62,6421.68,29.78,74.46,14.98,0.23,Europe
Manufacturing,germany,2001,243.69,709.99,35.88,79.01,27.83,0.97,1496.05,8798.66,37.37,78.59,6.35,7.69,Europe
Manufacturing,germany,2012,272.3,216.71,20.35,101.63,28.62,9.59,295.94,13554.58,99.76,26.11,-4.41,3.36,Europe
Manufacturing,germany,2004,129.48,951.46,64.93,18.32,17.28,10.23,511.98,323.87,39.43,99.71,14.74,7.42,Europe
Manufacturing,germany,2003,29.74,228.65,41.69,195.97,7.45,5.77,1399.34,7047.18,32.98,69.94,-6.49,2.85,Europe
Construction,germany,2020,201.68,699.36,3.73,85,11.91,10.15,1173.08,17906.44,35.57,9.71,8.01,4.67,Europe
Energy,germany,2022,4.03,707.53,30.58,6.05,38.43,16.04,1054.99,4114.15,42.65,5.87,2.6,6.51,Europe
Construction,germany,2021,180.22,573.1,47.78,192.56,30.56,13.54,1330.78,12777.49,53.64,35.96,13.64,6.12,Europe
Energy,germany,2019,265.79,756.19,85.63,84.21,25.86,3.98,289.63,3450.35,75.58,90.61,-2.08,9.01,Europe
Mining,germany,2003,131.98,846.34,93.67,46.25,45.93,0.81,1247.27,22554.29,62.66,20.96,0.99,8.27,Europe
Manufacturing,germany,2006,272.46,762.28,33.43,193.88,21.9,2.35,1483.08,13034.15,37.01,62.92,3.1,6.53,Europe
Construction,germany,2022,56.64,903.96,79.88,56.29,49.12,14.86,323.94,24221.27,42.7,87.76,-8.29,9.61,Europe
Manufacturing,germany,2002,238.93,907.44,44.85,142.3,7.98,4.14,621.34,18252.4,70.28,55.69,-4.16,6.98,Europe
Construction,germany,2010,46.44,333.32,80.25,56.34,29.35,13.04,1091.37,4782.85,73.27,19.54,-1.53,0.4,Europe
Energy,germany,2004,234.24,485.78,60.79,49.36,42.8,19.74,771.87,23492.69,43.79,18.94,6.71,-2.12,Europe
Manufacturing,germany,2011,101.91,886.63,6.57,93.57,41.24,13.9,1172.18,254.54,53.61,16.89,10.26,8.86,Europe
Manufacturing,germany,2002,286.83,318.52,64.99,81.69,8.09,3.99,1242.44,15217.24,44.78,26.88,9.11,2.8,Europe
Mining,germany,2001,216.54,683.36,52.12,28.03,9.54,9.34,1385.01,15542.05,61.69,12.02,-7.29,3.34,Europe
Mining,germany,2009,194.61,779.65,75.22,151.38,4.1,15.82,599.5,2579.62,29.15,81.41,1.84,-0.8,Europe
Construction,germany,2012,288.73,614.32,36.98,70.73,28.64,9.99,705.4,20681.46,70.6,18.04,14.59,0.6,Europe
Energy,germany,2022,218.69,800.15,39.33,187.77,0.6,19.83,862.82,14317.76,25.2,94.56,5.91,6.8,Europe
Construction,germany,2001,17.53,566.78,79.61,47.06,2.62,1.07,46.58,24828.24,53.44,65.78,2.42,-4.55,Europe
Energy,germany,2007,227.2,236.87,60.75,182.55,11.78,5.27,1149.14,1393.02,45.06,30.73,1.28,6.78,Europe
Mining,germany,2008,155.01,764.66,64.83,99.17,39.12,12.3,1167.54,1737.56,30.82,14.31,-9.95,6.1,Europe
Mining,germany,2000,299.5,649.61,95.29,177.33,34.16,0.51,667.73,322.55,31.93,51.19,2.65,2.05,Europe
Mining,germany,2016,228.31,138.69,57.13,65.81,27.67,14.61,247.3,14615.31,95.97,65.41,14.26,4.81,Europe
Manufacturing,germany,2003,199.01,138.79,61.09,51.87,40.06,19.43,426.67,23479.53,61.98,25.96,7.53,-4.2,Europe
Energy,germany,2001,216.59,72.35,93.32,58.96,48.88,17.09,781.3,21579.58,97.18,57.42,-4.91,5.31,Europe
Construction,germany,2012,21.63,329.92,39.68,46.97,36.93,10.68,950.29,14495.28,25.18,52.52,14.64,0.31,Europe
Energy,germany,2006,101.87,776.04,0.88,99.77,1.81,0.44,576.56,7558.65,69.32,38.41,-1.83,3.27,Europe
Energy,germany,2001,287.79,577.63,89.7,192.01,25.56,11.61,383.7,22322.29,61.16,99.45,0.91,1.47,Europe
Manufacturing,germany,2016,197.8,873.56,57.71,155.48,28.46,3.67,39.14,12098.37,87.51,66.12,9.62,-1.23,Europe
Manufacturing,germany,2004,19.01,525.66,1.01,87.38,2.9,19.97,571.34,22673.61,91.04,81.09,11.21,1.78,Europe
Construction,germany,2010,242.86,375.24,75.72,80.29,20.84,15.53,146.18,12607.93,48.91,63.94,-3.5,-2.86,Europe
Mining,germany,2021,69.36,620.88,24.15,92.07,9.34,4.79,1009.55,2568.44,54.75,12.04,0.89,-4.27,Europe
Construction,germany,2021,79.55,889.35,63.63,115.47,32.8,8.23,96.21,18231.97,38.77,30.03,5.46,3.55,Europe
Manufacturing,germany,2015,0.93,341.19,52.46,48.85,31.09,12.59,1351.85,4872.45,27.53,96.67,5.49,2.52,Europe
Energy,germany,2001,287.77,798.07,48.56,151.77,41.05,2.22,1193.84,9079.41,65.86,10.49,0.35,7.17,Europe
Construction,germany,2014,192.27,353.85,0.79,108.13,35.85,5.41,655.33,8235.1,70.42,81.69,3.42,5.68,Europe
Manufacturing,germany,2011,108.37,998.5,82.74,191.78,0.44,4.68,821.28,2967.86,41.42,2.64,14.65,7.74,Europe
Construction,germany,2020,115.74,534,17.8,169.1,35.09,11.44,606.47,14397.39,34.38,65.37,-5.7,9.15,Europe
Manufacturing,germany,2006,261.63,590.52,23.21,31.86,1.78,8.51,888.12,7755.91,63.66,21.77,6.31,8.59,Europe
Manufacturing,germany,2009,47.8,97.37,72.56,167.67,29.64,12.09,1394.38,1361.91,59.37,30.02,-5.69,3.06,Europe
Mining,germany,2020,265.5,319.24,55.03,177.08,26.44,4.37,442.04,21145.99,35.49,88.6,3.1,0.96,Europe
Manufacturing,germany,2012,81.26,429.31,98.88,45.12,6.14,12.51,849.5,22799.8,59.53,83.98,-6.91,-3.49,Europe
Construction,germany,2010,51.4,263.05,42.29,4.08,45.25,17,405.87,7297.17,98.56,89.25,-8.41,-1.93,Europe
Energy,germany,2020,48.69,330.16,22.06,23.37,11.65,3.69,1285.05,16906.97,39.78,6.91,-2.07,0.37,Europe
Construction,germany,2003,248.3,325.12,55.3,139.56,7.63,5.84,1044,8318.94,53.36,62.33,13.08,8.53,Europe
Manufacturing,germany,2014,146.19,642.71,52.94,85.68,13.75,7.65,515.47,3960.85,63.6,88.21,0.45,-2.37,Europe
Mining,germany,2020,34.79,376.97,84,80.05,1.69,12.13,1128.97,22124.22,57.24,82.39,6.42,3.9,Europe
Energy,germany,2021,284.53,99.04,36.76,158.35,38.86,19.87,1409.44,4367.98,66.25,56.74,-0.76,1.04,Europe
Construction,germany,2020,14.41,472.38,53.3,19.44,15.23,17.1,100.75,15636.8,28.02,82.38,1.95,-3.59,Europe
Construction,germany,2021,265.53,435.54,95.12,106.81,28.07,5.02,1414.07,22482.33,87.84,17.79,-3.9,-3.82,Europe
Construction,germany,2018,124.93,967.54,74.9,167.31,18.64,11.71,1284.58,2356.15,91.01,80.85,-9.64,9.84,Europe
Construction,germany,2018,238.38,579.13,81.33,148.84,4.87,12.17,287.1,22522.2,83.74,9.93,8.96,8.63,Europe
Construction,germany,2000,9.49,821.13,23.68,105.82,36.09,9.45,1057.81,7900.3,36.01,44.66,13.3,1.62,Europe
Mining,germany,2021,21.86,499.67,7.36,136.94,7.02,17.57,110.14,9150.99,99.41,1.43,-9.26,3.41,Europe
Energy,germany,2012,139.46,818.98,93.95,78.41,0.44,9.92,35.97,16196.54,52.74,33.86,-0.39,6.76,Europe
Energy,germany,2020,226.59,214.82,16.52,89.64,33.45,14.99,1062.69,2467.55,81.37,55.57,-3.98,2.65,Europe
Mining,germany,2022,88.56,891.14,42.45,172.95,26.62,13,1043.18,22902.88,23,45.64,14.7,3.93,Europe
Energy,germany,2013,84.49,527.42,86.74,94.99,33.29,7.65,1263.66,18601.81,33.4,43.7,-0.11,-1.6,Europe
Manufacturing,germany,2003,253.27,314.21,40.14,62.87,42.51,17.41,108.08,7421.72,88.97,51.78,-1.33,7.64,Europe
Construction,germany,2012,160.35,240.48,22.99,0.25,21.82,14.21,478.52,17056.84,54.89,74.81,-2.89,2.45,Europe
Energy,germany,2008,17.48,654.42,87.74,43.58,47.11,12.47,1487.47,11552.77,50.33,9.38,-6.21,0.05,Europe
Mining,germany,2013,5.9,892.19,98.31,118.39,33.64,7.58,194.6,15466.77,71.58,52.49,2.92,8.57,Europe
Manufacturing,germany,2020,243.54,890.43,2.15,146.92,32.55,0.34,377.04,5504.9,51.75,7.84,0.94,3.02,Europe
Manufacturing,germany,2020,244.2,770.75,16.73,44.66,20.28,2.95,320.94,8194.77,30.95,79.33,9.64,8.55,Europe
Construction,germany,2010,81.16,114.46,29.34,187.39,42.15,3.55,1343.91,4389.79,82.22,7.05,14.25,4.78,Europe
Mining,germany,2020,86.13,708.66,58.64,69.03,2.98,10.43,273.22,3221.76,53.85,8.66,10.38,4.46,Europe
Construction,germany,2004,171.34,857.23,53.9,85.8,15.93,7.46,1141.29,22045.01,69.27,52.76,-6.47,-4.33,Europe
Mining,germany,2015,140.93,67.91,90.79,191.84,39.03,8.7,389.67,5844.36,85.19,93.94,-4.72,-0.53,Europe
